id,route,latitude,longitude
590,5,2.982970006,101.7346757
591,5,2.982974379,101.7346305
592,5,2.982856176,101.7342511
593,5,2.982873671,101.7342015
594,5,2.982902829,101.7341635
595,5,2.983396246,101.734017
596,5,2.983446648,101.7338675
597,5,2.983435803,101.7338442
598,5,2.983314338,101.7338192
599,5,2.983053191,101.7338906
600,5,2.982882778,101.7338696
601,5,2.982651008,101.7337646
602,5,2.982749849,101.7334794
603,5,2.982893822,101.7327812
604,5,2.982941648,101.7326077
605,5,2.982943774,101.7326067
606,5,2.983030924,101.7324673
607,5,2.983103195,101.7323864
608,5,2.9846082,101.7315206
609,5,2.986289952,101.7309352
610,5,2.986627876,101.7309068
611,5,2.987411705,101.7309373
612,5,2.987680721,101.7308994
613,5,2.987935285,101.7308393
614,5,2.988303236,101.7306468
615,5,2.988302125,101.7305666
616,5,2.988289897,101.7305399
617,5,2.987878592,101.7298442
618,5,2.9874017,101.7290572
619,5,2.987246071,101.7286832
620,5,2.98712935,101.7282435
621,5,2.98707488,101.7277526
622,5,2.987075991,101.7276123
623,5,2.987146024,101.7271236
624,5,2.987344255,101.7262732
625,5,2.987596413,101.7253521
626,5,2.987773255,101.7246722
627,5,2.987989239,101.7237511
628,5,2.988076115,101.7234684
629,5,2.988291134,101.7223896
630,5,2.988688593,101.7209107
631,5,2.988860174,101.7206106
632,5,2.9889123,101.7205366
633,5,2.989040443,101.7204236
634,5,2.98956184,101.7201656
635,5,2.990539281,101.7203188
636,5,2.99153274,101.7203244
637,5,2.991810303,101.7202223
638,5,2.992075007,101.7199674
639,5,2.992227721,101.7197329
640,5,2.992312562,101.7195392
641,5,2.992373647,101.71923
642,5,2.992325699,101.7188817
643,5,2.992031377,101.7182017
644,5,2.991958522,101.7180474
645,5,2.992028574,101.7179548
646,5,2.992020168,101.7177808
647,5,2.992034179,101.7176153
648,5,2.992022747,101.7165544
649,5,2.991966705,101.7148343
650,5,2.991910663,101.7134005
651,5,2.991776161,101.7130301
652,5,2.991322218,101.7125531
653,5,2.990585261,101.7118292
654,5,2.990495593,101.7116019
655,5,2.990489989,101.7115402
656,5,2.990478781,101.7110659
657,5,2.990536275,101.7079057
658,5,2.990698093,101.7077191
659,5,2.991309744,101.7076574
660,5,2.991720962,101.7075562
